Training | Average loss node -0.786422 dist -2.058079 angle -1.865022 torsion 1.145139 focus 0.259583 contact 0.336532
Training | Average loss node -0.792451 dist -2.383413 angle -2.033509 torsion 1.064826 focus 0.226427 contact 0.282778
Training | Average loss node -0.794481 dist -2.476339 angle -2.089140 torsion 1.027867 focus 0.211649 contact 0.251476
Training | Average loss node -0.796003 dist -2.620307 angle -2.137504 torsion 0.994196 focus 0.199843 contact 0.231432
Training | Average loss node -0.796888 dist -2.592807 angle -2.163412 torsion 0.973391 focus 0.194033 contact 0.215512
Training | Average loss node -0.797263 dist -2.626982 angle -2.169652 torsion 0.964998 focus 0.193234 contact 0.202411
Training | Average loss node -0.797842 dist -2.671265 angle -2.189013 torsion 0.947828 focus 0.189448 contact 0.194353
Training | Average loss node -0.798360 dist -2.712943 angle -2.206387 torsion 0.929351 focus 0.185252 contact 0.185806
Training | Average loss node -0.798657 dist -2.740631 angle -2.216752 torsion 0.919233 focus 0.183393 contact 0.179304
Training | Average loss node -0.799046 dist -2.777973 angle -2.230798 torsion 0.906489 focus 0.180375 contact 0.173167
Training | Average loss node -0.799309 dist -2.778108 angle -2.238520 torsion 0.894446 focus 0.178929 contact 0.167148
Training | Average loss node -0.799527 dist -2.795074 angle -2.244438 torsion 0.889839 focus 0.177852 contact 0.161461
Training | Average loss node -0.799749 dist -2.824410 angle -2.256726 torsion 0.871139 focus 0.175093 contact 0.158780
Training | Average loss node -0.799878 dist -2.822141 angle -2.262608 torsion 0.864042 focus 0.174338 contact 0.154276
Training | Average loss node -0.800044 dist -2.839421 angle -2.266248 torsion 0.862807 focus 0.172759 contact 0.149973
Training | Average loss node -0.800219 dist -2.844091 angle -2.275001 torsion 0.836752 focus 0.171545 contact 0.147269
Training | Average loss node -0.800335 dist -2.852189 angle -2.280659 torsion 0.824347 focus 0.170500 contact 0.143970
Training | Average loss node -0.800445 dist -2.860864 angle -2.283678 torsion 0.821165 focus 0.169763 contact 0.140970
Training | Average loss node -0.800472 dist -2.860925 angle -2.285198 torsion 0.826688 focus 0.169619 contact 0.138298
Training | Average loss node -0.800663 dist -2.876508 angle -2.292052 torsion 0.816013 focus 0.168012 contact 0.136178
Training | Average loss node -0.800811 dist -2.879064 angle -2.295483 torsion 0.816012 focus 0.167529 contact 0.133955
